spotify_id,title,artist,album,release_date,popularity,0
1scGwkyXNCl19wrBDhnAWg,Dekhte Dekhte,"Atif Aslam, Nusrat Fateh Ali Khan, Rochak Kohli, Manoj Muntashir",Batti Gul Meter Chalu,2018-09-08,69.0,
2zqKYDFpY25MgVtQ4d7Ig4,Janam Janam,"Atif Aslam, Pritam",Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),2013-09-20,42.0,
4J7XXleIQ25OtKjq5Z5wQz,Hum Kis Galli Jaa Rahe Hai,Atif Aslam,Doorie,2006-12-22,45.0,
3zqFsowz5iGbYIxZW5KlKw,Tera Hua,"Atif Aslam, Tanishk Bagchi","Tera Hua (From ""Loveyatri"")",2018-08-30,63.0,
43GfQ1SC17rBWiHkOtdwK8,Jab koi baat,"Atif Aslam, Shirley Setia, Dj Chetas",Jab Koi Baat - Recreated,2018-02-09,60.0,
1tnUbj8AI3PvxZNQZRTZmB,O Mere Khuda,"Atif Aslam, Garima Jhingon",Prince (Original Motion Picture Soundtrack),2010-04-09,53.0,
6UhC6fBIFkIwkVd5RgcuAG,Kaun Hoon Main,"Atif Aslam, Abhimanyu-Pragya",Kaun Hoon Main - Lofi Mix,2022-01-01,30.0,
1EFKizholUErxGhpCpYVS6,Le Ja Tu Mujhe,"Sachin-Jigar, Atif Aslam",F.A.L.T.U (Original Motion Picture Soundtrack),2011-06-08,35.0,
5a11x5PUFvJEadMRqtNtTr,O Re Piya,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),2011-02-24,72.0,
56C2kPt84I1NwwEtwEiPlF,Ehsaas,Atif Aslam,Doorie,2006-12-22,38.0,
1zydfmowMi3FqoMKs9ENwC,Younhi,"Atif Aslam, Meekal Hassan",Younhi,2017-03-12,28.0,
7bbEj1w0eu9p9t47o6t3Lv,Dil Meri Na Sune (Reprise),"Atif Aslam, Payal Dev",Genius (Original Motion Picture Soundtrack),2018-08-24,40.0,
72CkpVdvmc8t28o8I9N32J,Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",Rustom (Original Motion Picture Soundtrack),2016-07-15,74.0,
5c3aHF1VfjqEMDr995v4gS,Maula,Atif Aslam,Doorie,2006-12-22,27.0,
4UEGR94HwHF8wTfYqscPIh,Mahiya Ve Soniya,Atif Aslam,Doorie,2006-12-22,36.0,
4orEOb27nON0TWsHvlVAxb,Baarishein,"Atif Aslam, Arko",Baarishein,2019-02-13,42.0,
3aaiAWCet6sbfOfLSn3g7i,Tu Chahiye,"Pritam, Atif Aslam, Amitabh Bhattacharya",Bajrangi Bhaijaan,2015-07-07,69.0,
